,ds,y
0,2008-01-30,5.976350909297934
1,2008-01-16,6.049733455231958
2,2008-01-17,6.0112671744041615
3,2008-01-14,5.953243334287785
4,2008-01-15,5.910796644040527
5,2008-01-12,5.407171771460119
6,2008-01-13,5.3230099791384085
7,2008-01-10,5.8805329864007
8,2008-01-11,5.645446897643238
9,2008-01-18,5.958424693029782
10,2008-01-19,5.3706380281276624
11,2008-01-29,5.958424693029782
12,2008-01-28,5.8916442118257715
13,2008-01-27,5.488937726156687
14,2008-01-26,5.407171771460119
15,2008-01-25,5.916202062607435
16,2008-01-24,5.966146739123692
17,2008-01-23,6.089044875446846
18,2008-01-22,5.942799375126701
19,2008-01-21,6.261491684321042
20,2008-01-20,5.666426688112432
21,2008-01-05,5.278114659230517
22,2008-01-04,5.598421958998375
23,2008-01-07,5.673323267171493
24,2008-01-06,5.313205979041787
25,2008-01-01,4.804021044733257
26,2008-01-03,5.659482215759621
27,2008-01-02,5.37989735354046
28,2008-01-09,5.811140992976701
29,2008-01-08,5.733341276897746
30,2008-02-26,6.0844994130751715
31,2008-02-29,5.976350909297934
32,2008-02-01,6.159095388491933
33,2008-02-02,5.424950017481403
34,2008-02-03,5.420534999272286
35,2008-02-04,5.916202062607435
36,2008-02-05,6.0330862217988015
37,2008-02-06,6.003887067106539
38,2008-02-07,5.8944028342648505
39,2008-02-08,6.0014148779611505
40,2008-02-09,5.5909869805108565
41,2008-02-24,5.799092654460526
42,2008-02-25,6.07073772800249
43,2008-02-22,5.921578419643816
44,2008-02-23,5.53338948872752
45,2008-02-20,6.111467339502679
46,2008-02-21,6.0330862217988015
47,2008-02-27,6.126869184114185
48,2008-02-17,5.517452896464707
49,2008-02-16,5.6131281063880705
50,2008-02-15,5.87493073085203
51,2008-02-14,6.028278520230698
52,2008-02-13,6.040254711277414
53,2008-02-12,6.093569770045136
54,2008-02-11,6.2166061010848646
55,2008-02-10,5.60947179518496
56,2008-02-19,6.173786103901937
57,2008-02-18,6.016157159698354
58,2008-03-14,6.139884552226255
59,2008-03-15,5.673323267171493
60,2008-03-16,5.7430031878094825
61,2008-03-17,6.102558594613569
62,2008-03-10,6.115892125483034
63,2008-03-11,6.182084906716632
64,2008-03-12,6.126869184114185
65,2008-03-13,6.100318952020064
66,2008-03-18,6.0330862217988015
67,2008-03-19,6.210600077024653
68,2008-03-31,6.263398262591624
69,2008-03-30,5.755742213586912
70,2008-03-09,5.713732805509369
71,2008-03-08,5.605802066295998
72,2008-03-02,5.58724865840025
73,2008-03-07,5.932245187448011
74,2008-03-06,5.978885764901122
75,2008-03-05,6.016157159698354
76,2008-03-21,5.945420608606575
77,2008-03-20,6.129050210060545
78,2008-03-23,5.568344503761097
79,2008-03-22,5.602118820879701
80,2008-03-25,6.182084906716632
81,2008-03-24,5.82600010738045
82,2008-03-27,6.104793232414985
83,2008-03-26,6.0473721790462776
84,2008-03-29,5.676753802268282
85,2008-03-28,6.025865973825314
86,2008-04-30,6.263398262591624
87,2008-04-15,6.272877006546167
88,2008-04-14,6.226536669287466
89,2008-04-17,6.263398262591624
90,2008-04-16,6.280395838960195
91,2008-04-11,6.29156913955832
92,2008-04-10,6.154858094016418
93,2008-04-13,5.765191102784844
94,2008-04-12,5.69035945432406
95,2008-04-19,5.638354669333745
96,2008-04-18,6.1092475827643655
97,2008-04-28,6.324358962381311
98,2008-04-29,6.251903883165888
99,2008-04-20,5.66988092298052
100,2008-04-21,6.133398042996649
101,2008-04-22,6.26530121273771
102,2008-04-23,6.1070228877422545
103,2008-04-24,6.182084906716632
104,2008-04-25,6.180016653652572
105,2008-04-26,5.840641657373398
106,2008-04-27,5.768320995793772
107,2008-04-06,5.849324779946859
108,2008-04-07,6.093569770045136
109,2008-04-04,6.042632833682381
110,2008-04-05,5.8522024797744745
111,2008-04-02,6.1070228877422545
112,2008-04-03,6.1903154058531475
113,2008-04-01,6.137727054086234
114,2008-04-08,6.2324480165505225
115,2008-04-09,6.218600119691729
116,2008-05-31,5.204006687076795
117,2008-05-12,6.220590170099739
118,2008-05-13,6.373319789577012
119,2008-05-10,5.998936561946683
120,2008-05-11,6.0330862217988015
121,2008-05-16,5.991464547107982
122,2008-05-17,5.170483995038151
123,2008-05-14,6.3080984415095305
124,2008-05-15,6.095824562432225
125,2008-05-18,5.017279836814924
126,2008-05-19,5.393627546352362
127,2008-05-29,5.666426688112432
128,2008-05-28,5.484796933490655
129,2008-05-23,5.327876168789581
130,2008-05-22,5.365976015021851
131,2008-05-21,5.659482215759621
132,2008-05-20,5.58724865840025
133,2008-05-27,5.583496308781699
134,2008-05-26,5.19295685089021
135,2008-05-25,5.327876168789581
136,2008-05-24,4.976733742420574
137,2008-05-01,6.089044875446846
138,2008-05-03,5.697093486505405
139,2008-05-02,6.173786103901937
140,2008-05-05,6.331501849893691
141,2008-05-04,5.908082938168931
142,2008-05-07,6.246106765481563
143,2008-05-06,6.535241271013659
144,2008-05-09,6.261491684321042
145,2008-05-08,6.2166061010848646
146,2008-05-30,5.7745515455444085
147,2008-06-21,6.967909201801884
148,2008-06-27,7.183870715062453
149,2008-06-24,6.763884908562435
150,2008-06-25,6.931471805599453
151,2008-06-13,6.9975959829819265
152,2008-06-12,6.785587645007929
153,2008-06-11,6.156978985585555
154,2008-06-10,6.156978985585555
155,2008-06-17,7.045776576879511
156,2008-06-16,6.675823221634848
157,2008-06-15,6.688354713946762
158,2008-06-14,7.01571242048723
159,2008-06-30,5.313205979041787
160,2008-06-19,7.064759027791802
161,2008-06-18,7.080867896690782
162,2008-06-28,7.142036574706803
163,2008-06-29,6.246106765481563
164,2008-06-08,5.0689042022202315
165,2008-06-09,5.351858133476067
166,2008-06-04,5.58724865840025
167,2008-06-05,5.666426688112432
168,2008-06-06,5.676753802268282
169,2008-06-07,5.420534999272286
170,2008-06-26,7.191429330036379
171,2008-06-03,5.545177444479562
172,2008-06-22,6.3561076606958915
173,2008-06-23,6.386879319362645
174,2008-06-20,7.1372784372603855
175,2008-07-10,5.583496308781699
176,2008-07-11,5.176149732573829
177,2008-07-12,4.890349128221754
178,2008-07-07,5.908082938168931
179,2008-07-06,5.43372200355424
180,2008-07-05,5.6131281063880705
181,2008-07-04,6.192362489474872
182,2008-07-03,6.363028103540465
183,2008-07-02,6.398594934535208
184,2008-07-09,5.556828061699537
185,2008-07-08,5.652489180268651
186,2008-08-04,6.336825731146441
187,2008-08-31,5.771441123130016
188,2008-08-23,6.126869184114185
189,2008-08-11,6.184148890937483
190,2008-08-10,5.7745515455444085
191,2008-08-13,6.180016653652572
192,2008-08-12,6.251903883165888
193,2008-08-15,6.059123195581797
194,2008-08-14,6.139884552226255
195,2008-08-17,5.673323267171493
196,2008-08-16,5.662960480135946
197,2008-08-19,6.206575926724928
198,2008-08-18,6.104793232414985
199,2008-08-30,5.598421958998375
200,2008-08-02,5.424950017481403
201,2008-08-03,5.955837369464831
202,2008-08-26,6.274762021241939
203,2008-08-01,5.267858159063328
204,2008-08-06,6.255750041753367
205,2008-08-21,6.309918278226516
206,2008-08-22,6.013715156042802
207,2008-08-05,6.329720905522696
208,2008-08-08,6.104793232414985
209,2008-08-09,5.765191102784844
210,2008-08-28,6.38856140554563
211,2008-08-29,6.20050917404269
212,2008-08-24,5.902633333401366
