구별,살인,강도,강간,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.35714285714285715,1.0,1.0,0.9771179515118497,0.7337733773377337,80.03875968992247,100.0,100.0,53.4708670197937,88.13093453273363,561052.0,3238.0,0.813606837198488,84.32811224848996
강동구,0.2857142857142857,0.358974358974359,0.31007751937984496,0.47779896485971124,0.4638797213054639,95.0,92.85714285714286,100.0,51.425313568985175,86.99604743083003,440359.0,1010.0,0.37928897004673295,85.25570077139162
강북구,0.5,0.1282051282051282,0.42054263565891475,0.3328793244347589,0.5093509350935094,73.27188940092167,80.0,85.71428571428571,54.99181669394435,89.34485241180705,328002.0,831.0,0.37819560467846225,76.66456884419176
관악구,0.42857142857142855,0.3076923076923077,0.624031007751938,0.5728684282211931,0.5931426475980931,81.98757763975155,83.33333333333334,100.0,44.55539705183072,83.67851622874807,520929.0,2109.0,0.5052611639669922,78.71096485073274
광진구,0.2857142857142857,0.28205128205128205,0.5406976744186046,0.7180604739852902,0.4385771910524386,83.87096774193549,54.54545454545454,100.0,40.098634294385434,84.07190635451505,372298.0,878.0,0.4530201814443802,72.51739258725812
구로구,0.6428571428571429,0.2564102564102564,0.5290697674418605,0.5202941977662762,0.5801246791345801,66.30036630036629,100.0,100.0,45.07853403141361,84.70290771175726,441559.0,1884.0,0.5057512087220232,79.21636160870744
금천구,0.42857142857142855,0.1794871794871795,0.3391472868217054,0.3443203486788341,0.4020902090209021,81.71428571428572,100.0,100.0,51.74050632911392,88.73689010487917,253491.0,1348.0,0.33872329051600997,84.43833642965576
노원구,0.35714285714285715,0.15384615384615385,0.3081395348837209,0.5058567147916099,0.4613127979464613,89.30817610062893,100.0,100.0,39.84921917070544,84.41971383147853,558075.0,1566.0,0.35725961172216064,82.71542182056258
도봉구,0.21428571428571427,0.1282051282051282,0.23837209302325582,0.2359030236992645,0.2642097543087642,98.3739837398374,100.0,100.0,56.812933025404156,90.83969465648855,346234.0,825.0,0.21619514270442539,89.20532228434601
동대문구,0.35714285714285715,0.2564102564102564,0.3682170542635659,0.5284663579406156,0.4844151081774844,83.15789473684211,100.0,100.0,55.206185567010316,89.96971990915974,366011.0,1870.0,0.39893032678695584,85.66676004260242
동작구,0.5714285714285714,0.1794871794871795,0.6298449612403101,0.3339689457913375,0.3045471213788045,45.84615384615385,100.0,75.0,45.18760195758564,86.93558097531607,408493.0,1302.0,0.40385535586524063,70.59386735581111
마포구,0.2857142857142857,0.10256410256410256,0.7732558139534884,0.6883682920185236,0.5388705537220388,80.20050125313283,100.0,100.0,37.198258804907006,85.06294658046954,385783.0,980.0,0.4777546095944878,80.49234132770188
서대문구,0.42857142857142855,0.1282051282051282,0.3391472868217054,0.4094252247344048,0.3623028969563623,84.0,80.0,100.0,50.033266799733866,83.19838056680162,325028.0,1254.0,0.33353039305780585,79.44632947330709
서초구,0.35714285714285715,0.3333333333333333,0.8294573643410853,0.6006537728139472,0.4286762009534287,63.3177570093458,76.92307692307693,100.0,50.204081632653065,86.7835757057314,445401.0,2297.0,0.5098527057169304,75.44569825416144
성동구,0.2857142857142857,0.07692307692307693,0.20155038759689922,0.35303731953146283,0.2968463513017969,75.0,100.0,100.0,69.1358024691358,86.96726374305128,312711.0,1327.0,0.24281428421350432,86.22061324243741
성북구,0.14285714285714285,0.07692307692307693,0.1996124031007752,0.21520021792427133,0.2156215621562156,72.81553398058253,100.0,100.0,48.22784810126583,85.37414965986395,455407.0,1651.0,0.17004288059229639,81.28350634834246
송파구,0.6428571428571429,0.38461538461538464,0.45348837209302323,0.6927267774448379,0.603043637697103,78.63247863247864,80.0,88.88888888888889,41.211167911915055,85.37549407114624,671173.0,1081.0,0.5553462629414984,74.82160590088577
양천구,1.0,0.4358974358974359,0.7868217054263565,1.0,1.0,85.4679802955665,100.0,100.0,49.71397439389812,85.91859185918592,475018.0,2482.0,0.8445438282647585,84.22010930973012
영등포구,0.9285714285714286,0.48717948717948717,0.689922480620155,0.6377008989376192,0.6587825449211587,63.20224719101124,73.68421052631578,100.0,40.153780435711234,83.69050932368495,402024.0,1277.0,0.6804313680459697,72.14614949534464
용산구,0.2857142857142857,0.23076923076923078,0.48643410852713176,0.4056115499863797,0.4371103777044371,85.2589641434263,100.0,100.0,40.22834116856951,84.22818791946308,244444.0,2096.0,0.36912791054029304,81.94309864629177
은평구,0.42857142857142855,0.23076923076923078,0.3023255813953488,0.4538272950149823,0.4884488448844885,91.02564102564102,77.77777777777779,100.0,53.421368547418965,86.63663663663664,491202.0,2108.0,0.38078847612709577,81.77228479749489
종로구,0.42857142857142855,0.3076923076923077,0.46124031007751937,0.5284663579406156,0.41492482581591494,74.36974789915966,75.0,33.33333333333333,39.58762886597938,87.36190897039329,164257.0,1619.0,0.42817904601955725,61.93052381377313
종암경찰서,0.14285714285714285,0.1282051282051282,0.09883720930232558,0.18523563061836013,0.17088375504217088,82.35294117647058,100.0,50.0,50.588235294117645,87.44635193133047,,,0.14520377320502553,74.07750568038374
중구,0.21428571428571427,0.20512820512820512,0.38372093023255816,0.5856714791609916,0.407957462412908,74.74747474747475,87.5,100.0,42.51162790697675,89.70786516853933,134593.0,1023.0,0.3593527582440754,78.89339356459817
중랑구,0.5714285714285714,0.358974358974359,0.3178294573643411,0.46063742849359846,0.5801246791345801,91.46341463414635,100.0,87.5,62.211709047900655,85.71428571428571,412780.0,916.0,0.45779889907909005,85.37788187926654
